GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.repository,HibernateRepository,10,69,0,0,4,17,3,7,3,7
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.repository,HibernateRepositoryBuilder,13,73,8,8,2,17,8,6,0,6
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate,DefaultHibernateGitStorage,0,16,0,0,0,6,0,3,0,3
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate,RepositoryName,0,21,0,2,0,6,0,3,0,2
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate,DefaultHibernateRepositoryFactory,9,30,1,1,2,9,1,2,0,2
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate,HibernateStorageException,9,0,0,0,4,0,2,0,2,0
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.entity,GitPackEntity,25,41,0,0,9,19,8,11,8,11
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.entity,GitReflogEntity,20,53,0,0,8,23,6,15,6,15
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.objects,HibernateObjDatabase.HibernatePackOutputStream,30,125,5,5,9,42,5,6,1,5
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.objects,HibernateObjDatabase.ByteArrayReadableChannel,10,53,1,1,4,15,4,6,3,6
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.objects,HibernateObjDatabase,66,247,7,13,24,63,9,13,4,8
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.config,HibernateSessionFactoryProvider,18,56,2,2,5,18,3,5,1,5
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.refs,HibernateReflogReader.DbReflogEntry,10,58,5,5,2,12,7,4,2,4
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.refs,HibernateRefDatabase,0,23,0,0,0,8,0,3,0,3
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.refs,HibernateReflogWriter,12,66,3,3,4,20,3,2,0,2
jgit-storage-hibernate Core,io.github.carstenartur.jgit.storage.hibernate.refs,HibernateReflogReader,17,79,2,4,2,20,2,6,1,4
